ENGLISH ,TARAON/TAWRA
this river is not deep,machai rum-yum
the river has high current,awe machai tyung
let's go for hunting,habung maling boke
let's hunt down a deer,majum oo-boki
let’s hunt down a bear,tahum oo-boki
let's hunt down a tiger,tamya oo-boki
let's start hunting,cho maling boki
this forest is very dense,awe habung tyung rum a
go and fetch firewood from the forest,habung boya goo masung shigena
go and fetch water from the river,tallu machai degena
light the fire for me,haa ba tamung prue na
"we have to return fast, it will rain soon","ning tagroo boya sha biya, kara ja tyubo"
rise early in the morning,anna dyuna
prepare tea for me,haa ba phallum pungna
bring pillows for me,haa ba takhung shijana
bring the bedsheets,tachung taplo shijana
bring local wine for the guests,yuu lyo shijana karue ba
"you don’t drink wine, its for the guests","nyu yuu tyumya, awe karue ba"
he got drunk,cha you yum hoya
he is a very bad drinker,cha tyung you ya
"you will get ill, don’t drink wine too much","yuu due kapa tyumya, nya naraa biya"
go to the doctor,tama kalaa du khigena
she is admitted in the hospital,aa miya a cha tama ang kha hoya
she is very ill,aa miya a cha tyung naraa hoya
she is not able to eat food,aa miya a cha tapei tha haneyum
take care of the patient,mei nya pra whina
I have to cook food for the patient,haa mei nya ba tape hanaya
we have to go to the medical by foot,tama ang groo kya bodi
there are foxes in the forest,habung ke mabow kapue tyue iya
the forest is very dark,habung we tyung kanu
the forest has varieties of mushroom,habung ke kapue tyue takwung aha
I love to eat mushrooms,takwung tha pra wedi
some mushrooms are poisonous,hablige takwung thei sha
many people have died after eating poisonous mushrooms,mei due hi thei takwung thaya shei kuya
my mother cooks very well,haa nama tape tyung pra hayaa
my father doesnot know how to cook,haa naba tape haya kasayum
my brother eats well,haa myum aa tape pra tha
my sister doesn’t eat much,haa mathi aa tape kati tha
we should learn from elders,ning me tajai takue tharung ya duea
I want to sketch,haa tako juya
I don’t like sketching,haa tako juya pra we shiyum
I want to drink tea,haa phalum tyum myu a
I don’t want to drink tea,haa phalum tyum wha yum
I like milk,haa gungkhi pra wedi
I don’t like milk,haa gungkhi pra weshiyum
we get milk from cows,ning gungkhi machow du chung a
we get milk from goats,ning gungkhi chagulei du chung a
I like goat milk,haa chagulei gungkhi pra wedi
I don’t like goat milk,haa chagulei gungkhi pra weshiyum
I like goat milk but don’t like cow milk,"haa chagulei gungkhi pra weshi, machow gungkhi prayum"
goat milk is very thick,chagulei gungkhi tyung taleu
baby goat is very cute,chagulei aa tyung kashaing shia
calf is very cute,machow aa tyung kashaing shia
a calf is drinking milk,machow aa gungki tyuma
a baby goat is drinking milk,chagulei aa gungki tyuma
I have to make clothes,haa ting kajum baya a
I love wearing earrings,haa sumbe neya pra we shia
I love wearing headbands,haa gabbung bungya pra weshia
I like to dress up,haa maawau tyuya pra weshia
I am beautiful,haa mipra
she is beautiful,cha mipra
I am not beautiful,haa miprayum
she is not beautiful,cha miprayum
she is young,miya aa cha enyarow
she works well,miya aa cha pra kam jia
she is very lazy,miya aa cha tyung hera ha
All the lights went out.,tamung mei mung kuu bo
All the rooms are taken.,nyung mei dung kuu ya
Allow me to go with you.,haa nyu du bo shue na
Almost everyone gossips.,dhue yuu mei ruu maraa maroga
Always do what is right.,kadigumu jum darae we jina
Always obey your father.,kadigumu nyu ba takaue tharung na
Am I still welcome here?,haa tyakhre ake hana shue ya ye?
And why would I do that?,haa jaba wali jiya?
Anybody can participate.,shamu ji hane
Anyone can do it easily.,mei mi jamu di hane
Apparently you're right.,jumnyumu nyu jum takaue maroa
"Apparently, I was wrong.",jumnyumu haa laa haa kuuya
Are there any questions?,ja ahooya aa yum ye?
Are these pencils Tom's?,awe pencil nung tom ba ye?
Are they Tom's brothers?,a nung tom poo-mraa ye?
Are they coming as well?,chanung mu hanaga ye?
Are we going to do that?,ning anung jiya ye?
Are we meeting tomorrow?,ning abena che jia mie ye?
Are you a perfectionist?,nyu jami che jia mie ye?
Are you afraid of death?,nyu sheiya raidi ye?
Are you all by yourself?,mie mi gaa wetyudi ye?
Are you alone right now?,nyu tya kapa edi ye?
Are you and Tom friends?,nyu ma tom ma aatamroo ye?
Are you attracted to me?,nyu haa whiiyagu haa pra wedi ye?
Are you being waited on?,nyu kanum kalyuga ye?
Are you bored right now?,tya nyu whaayum ye?
Are you cooking tonight?,taya nyu tape hayadi ye?
Are you free on Tuesday?,Tuesday hing nyu amu edi ye?
"Are you frightened, Tom?",tom nyu raishi ye?
Are you going to Boston?,nyu boston bodi ye?
Are you good at cooking?,nyu tapei pra hayaa kasa ye?
Are you happy with that?,nyu chadu halyo shi ye?
Are you happy with this?,nyu awe du halyoshi ye?
Are you here on holiday?,nyu chutti hing ake edi ye?
Are you here to see Tom?,nyu ake tom whiiya hanadyabo ye?
Are you learning French?,nyu french maro malladi ye?
Are you listening to me?,nyu haa takaue tharung di ye?
Are you looking for Tom?,nyu tom malla diye?
Are you playing with me?,nyu haa du khilidi ye?
Are you ready to go out?,nyu habung boya wedi ye?
Are you really a doctor?,nyu jumnyumu doctor ye?
Are you still mad at me?,nyu tyaa khrae tami di ye?
Are you studying French?,nyu french puridi ye?
Are you sure about that?,nyu achiwe kanum che wedi ye?
Are you sure about this?,nyu awe kanum che wedi ye?
Are you taller than Tom?,nyu tom duu mu kalung yuu ye?
Are you the new teacher?,nyu tawhii ya mei mi ye?
Are you tired right now?,nyu tya whaa yum ye?
Are you waiting for Tom?,nyu tom kalyu diye?
Are you with the police?,nyu police du edi ye?
Are your parents in now?,nyu ma ba hanaho ye?
Aren't these your books?,awe nung nyu tako yum ye?
Aren't we going do that?,ning awe jiyam ye?
Aren't you OK with this?,nyu awe dyung dyum ye?
Aren't you Tom's mother?,nyu tom ma ye?
Aren't you even curious?,nyu mu kasa myua ye?
Aren't you feeling well?,nyu eprayum jia ye?
Aren't you going to ask?,nyu ahuyam ye?
Aren't you going to bed?,nyu tachung ke ingtyu ya ye?
Ask Tom not to go there.,tom achi boya lana
Ask her what she bought.,miya aa cha ja shizaya ahoo na
Ask me again in October.,october halo gu haa bhue du ahoo na
Ask me something easier.,haa a dumukasa yuu ya darae ahoo na
"At last, he got the car.",raa shaaya kigumu cha garae chung hoya
At least I wasn't alone.,pra shaya haa pa shayum
Baby elephants are cute.,tamering aa we kashaing shia
Bacteria are everywhere.,tapum takaa hanu laduu ea
Barking dogs never bite.,rungya kwaue kadigumu thue yum
Be careful what you say.,nyu ja ladi we pra we tyung
Be nice to the children.,aa nung du pra marona
"Beautiful day, isn't it?","tahing tyung we pra hing, um?"
Birthdays are important.,aa meya hing we tyung dhuea hing
Black cats are bad luck.,majarae maa we prayum sha laga
Black looks good on you.,maa rong nyu kyaa dyuu ga
Both sisters are pretty.,kaing me bi mru kashaingya aa ha
"Boy, was I disappointed.","muwa aa lai, haa khudyowya ye?"
Bring along your friend.,nyu aa tamru nung katyow zana
Bring me the dictionary.,dictionary shizana
Call me if you find Tom.,tom taroo gabo haa amena
Can I borrow your brush?,nyu brush haa hungeya ye?
Can I catch a taxi here?,haa bhara garae ake ro hane ye?
Can I drive the tractor?,haa tractor garei khe hane ye?
Can I leave my bag here?,haa phlee ake sohane ye?
Can I make a phone call?,haa phone maro hane ye?
Can I make a suggestion?,haa kalu tyung maro hane ye?
Can I say something now?,haa tya kaluge maro hane ye?
Can I see the book list?,haa tako whii hane ye?
Can I stay here tonight?,haa tayaa ake ing hane ye?
Can I take your picture?,haa nyu photo tyuo hane ye?
Can I tell you a secret?,haa lumkoo takaue atya hane ye?
Can I turn on the radio?,haa radyu pohane ye?
Can I use your computer?,haa computer mago hane ye?
Can I wait for Tom here?,haa tom ake kalyuu hane ye?
Can I wear your clothes?,haa nyu tingkazum ting hane ye?
Can Tom be counted upon?,haa mu chae hane biya ye?
Can anybody else answer?,sha khing tyung maroda hane biya ye?
Can money buy happiness?,pisha guu halyo brae hane ye?
Can we get help for Tom?,tom ning habrung biya ye?
Can we please leave now?,ning tya bohane ye?
Can you come back later?,nyu mamyu lya hane ye?
Can you count in French?,nyu french gu chei haneye?
Can you count the stars?,nyu kading chei hane ye?
Can you do this problem?,awe tatyuu kam nyu jihane ye?
Can you drive them here?,ake tapii nyu chanung kheya guu somatya hane ye?
Can you eat raw fruits?,haa ung hoyum mashung shei nyu tha hane ye?
Can you fix my computer?,nyu haa computer maroo hane ye?
Can you get it repaired?,nyu awe maroo hane ye?
Can you guess the price?,nyu kadege la chum hane ye?
Can you help me find it?,nyu haa mala brung hane ye?
"Can you help me, please?",nyu haa ba mala brungna o
Can you lift this stone?,awe phlaa tazi rohane ye?
Can you lower the price?,awe ing kati brue ji hane ye?
Can you make it cheaper?,nyu awe ingdu kati brue jihane ye?
Can you make it on time?,awe dhue a lum hung hane biya ye?
Can you open the window?,nyu kaccha khalung po hane ye?
Can you order it for me?,haa ba kanum nyu shei hanebiya ye?
Can you play chess well?,nyu chess we pra khili hane biya ye?
Can you play the guitar?,nyu guitar pra hagraa hane biya ye?
Can you play the violin?,nyu violin pra hagraa hane biya ye?
Can you please be quiet?,nyu ing mishaa ena hane biya ye?
Can you really not swim?,nyu jum nyumu machae yo haneyum ye?
Can you scratch my back?,nyu haa pling waa hane biya ye?
Can you see the picture?,nyu awe photo whiityung ye?
Can you stay for dinner?,taaya tape tha kalyuu hanebiya ye?
Can you swim underwater?,nyu machae halla yo hane biya ye?
Can you teach me French?,haa french nyu tawhii hane biya ye?
Can you untie this knot?,awe teeho we po hane biya ye?
Can't they speak French?,chanung french nyu tawhii hane biya ye?
Can't you speak English?,nyu english aro hane biya ye?
Carry on with your work.,nyu jadidye we jilana
Children are a blessing.,aa kalyo nung khanyum hungho darae
Children are our future.,aa kalyo nung ning abe asing ba
China is a huge country.,china we tyung darung mla
Choose a dress you like.,hanuwe ting pra wedi we shina
Classes begin next week.,hafta pi gu school pona
Classes start on Monday.,Monday gu tako shabiya
"Clean your room, please.",nyu nyung maruu tyuna o
"Close your eyes, please.",nyu balum maa na o
"Come on, answer quickly.","cho, tagroo atyana"
Correct me if I'm wrong.,haa maro wha bo mabyuu hung na
Could I borrow a pencil?,haa pencil hadagee hanabiya ye?
Could I borrow your car?,haa garae hadagee hanabiya ye?
Could I have some water?,haa machae ing tyumchung biya ye?
Could I use your pencil?,haa nyu pencil gu zoo hane biya ye?
Could we meet privately?,ning kapa gu taruga hane biya ye?
Could you do me a favor?,nyu haa kam ing jihung hane biya ye?
Could you pass the salt?,haa pla hung hane biya ye?
Could you use some help?,nyu kalue ge habrung ne ye?
Did I hurt his feelings?,haa kanum cha khudyow hoya ye?
Did Tom have his dinner?,tom cha taya tape thaya ye?
Did Tom really help you?,tom we jum nyumu wali laya ye?
Did Tom really say that?,tom jum nyumu wali laya ye?
Did anybody else see it?,mei pie mu awe whityung ya ye?
Did you ask your mother?,nyu ma ahooya ye?
Did you buy a new phone?,nyu phone mie braiya ye?
Did you call the police?,nyu sepahyae we amedyabo ye?
Did you catch the train?,nyu rail garae ro dyabo ye?
Did you clean your room?,nyu gaa nyung maroo dyabo ye?
Did you come here alone?,nyu paa ake hanadyabo ye?
Did you enjoy the movie?,nyu flim whii grueya ye?
Did you enjoy the food?,nyu tape tha grue ya ye?
Did you enjoy your swim?,nyu machae laue grue ya ye?
Did you find Tom or not?,nyu tom tarugaya kya tarugayum?
Did you get me anything?,nyu haaba jakaluge shiza ye?
Did you get my messages?,haa jaa la haglae dyabo nyu chungya ye?
Did you grade the tests?,nyu kade zuya kade chungya whii dyabo ye?
Did you hear that sound?,achiwe rungaa tharung tyung dyabo ye?
Did you mention my book?,nyu haa tako kanum zuu dyabo ye
Did you propose to Mary?,nyu mary katyowne ladyabo ye?
Did you push the button?,nyu button nyung dyabo ye?
Did you really say that?,nyu jumnyumu wali ladyabo ye?
Did you see their faces?,nyu chanung nyaa whii dyabo ye?
Did you shave yesterday?,nyu balyung hing nyaa rrhue dyabo ye?
Did you shave your legs?,nyu groo rrhue dyabo ye?
Did you take your pills?,nyu tama blae dyabo ye?
Did you wash your hands?,nyu atyo manum dyabo ye?
Did you watch the movie?,nyu flim whii dyabo ye?
Don't underestimate Tom.,tom we whii jaeya
Don't use this bathroom.,awe laue blum kee laue ya
Don't use too much glue.,due bali maneya darae we nyu ya
Don't walk away from me.,haadu dyatyu ga chae ya
Don't wear yourself out.,nyu gaa hera tyuya
Don't whistle at school.,school kee hllai ya
Don't you dare go there.,nyu achi boya lakuli
Don't you feel anything?,nyu kaluge saa weshiyum ye?
Don't you give up on me.,nyu haa kya we matya ya
Don't you know her name?,nyu miya aa cha amung kadyum ye?
Don't you know his name?,nyu muwa aa cha amung kadyum ye?
Don't you know who I am?,sha haa la nyu kasadyum ye?
Don't you like baseball?,baseball pra wedyum ye?
Don't you miss anything?,nyu kalu tyung wetyung yum ye?
"Don't you see that, Tom?",nyu achiwe whii dyum ye tom?
Don't you see the clock?,nyu guri whii dyum ye?
Don't you trust Tom yet?,tyakhre nyu tom takaue dyung dyum ye?
Don't you want me there?,nyu haa achi hana ingke wedyum ye?
Don't you want to study?,nyu tako puri yam ye?
Each person paid 10rs.,mei mi halunge hung ring ya
Eat up all your food,nyu tape tha dung na
Elephants have two ears.,tamering du kaing kruna aa ha
Even I don't understand.,hamu kasa kwiyum
Even Tom looked annoyed.,tom mu khudyow hoya dhue sha
Even a child knows that.,aa mu kasa khu hoya
Even children know that.,aa mie kasa khu hoya
Every man has his price.,mie mie gaa kanum kasa tyu
Every person is special.,mie mie pra za
Everybody calls him Tom.,mie mie cha we tom chum ga
Everybody's still there.,mie mie tya khre achi elaga
Everyone has been there.,mie mie achi ega ya
Everyone knows everyone.,mie mie kasa daga
Everyone laughed at him.,mie mie muwa aa cha maara nega
Everyone made fun of me.,mie mie haa maara jai ga
Everyone makes mistakes.,mie mie kalutyo jihaa ga
Everyone seems to agree.,mie mie dyunga dyue sha
Everyone was supportive.,mie mie dyung kwiga
Everyone's very excited.,mie mie kasa myu hoya
Everyone's watching Tom.,mie mie tom whii ga
Everything here is mine.,ake ega mie mie haa ba
Everything is all right.,jadarai mie pra
Everything's negotiable.,jadarai mie we marofre hane biya
Experience is important.,balaya we kasaya dhue a
Father has gone fishing.,ba we taa lyaya bohoya
Father is angry with me.,naba we haa khamyu a
Father is in his office.,ba we cha office ke ea
Father is well as usual.,ba we khu pra ea hayue dhyuege
Feel free to contact me.,haa du marolana halaue ya
Fill the tires with air.,gaarei gaa wenung harung apree na
Follow the instructions.,kade la wali hi jina
Football is an old game.,football biya khela
Fresh food is wonderful.,tape mie hayaho wene pra
"From now on, try harder.","alibo, nyu lue pra jina"
Get it out of the house.,awe ang habung so kuuna
Get me something to eat.,haa bhue du jishue lana
Get out of here quickly!,anyu gu habung tagroo bona
Get them out of the way.,chanung alyumbroo gu halina lana
Get your paws off of me.,nyu habrung wenung haa kyaa soya
Give me a call sometime.,bhue-bhue tyo haa maro lana
Give me a dozen oranges.,haa pashing halue kaing hungna
Give me a glass of milk.,haa gelasige gungkhi hungna
Give me a ring tomorrow.,haa abena maro jana
Give me another example.,haa pii takaue atyana
"Give that to me, please.",achiwe haa hungna o
Glass is made from sand.,glass we tapyeii gu bahoya
Go and apologize to Tom.,tom du boyagu takue maroona na
Go get a drink of water.,boya gu machae gelasige shizana
Go outside and play now.,habung boya gu khilige na
Goodbyes are always sad.,pra bonana layagbo weprayum jia
White goes well with red.,lyo duu she dyuu ga
"Great weather, isn't it?","tom bum, tyung pra um?"
Guess what I want to do.,haa ja dhue a kasakuu hana
"Guys have feelings, too.",muwa aa nung mu tawe wekasaga
Has Tom ever kissed you?,nyu tom kashaingya ye?
Has Tom finished eating?,tom thadungli ye?
"Has Tom kissed you, too?",tom nyu kashaingya ye?
Has everyone gone crazy?,mei mi thamiho ye?
Has the fever gone down?,tai kwi kati shaho ye?
Have I disappointed you?,haa nyu prayum weike jidyabo ye?
Have I ever lied to you?,haa kadigumu nyu lahalue dyabo ye?
Have a good day at work.,tahing pra kam jina
Have you already chosen?,nyu hanu we shiya weliye?
Have you been waited on?,nyu kalyuu taru ye?
Have you called him yet?,nyu muwa aa ameli ye?
Have you chosen a topic?,nyu ja lane wekasali ye?
Have you ever had a pet?,nyu hayuu guu tyu pya meya ye?
Have you ever seen snow?,nyu kadigumu awraii whiityungya ye?
Have you found anything?,nyu jalaku tyung malla tyungya ye?
Have you heard from Tom?,nyu tom du marogaya ye?
Have you heard from him?,nyu muwa aa cha du marogaya ye?
Have you known Tom long?,nyu tom raa gu kasagadi ye?
Have you lost your mind?,nyu panyum kamaku ye?
Have you read that book?,nyu achiwe tako puriya ye?
Have you read this book?,nyu awe tako puriya ye?
Have you seen Tom today?,nyu tom tahing whiityung dyabo ye?
Have you seen my camera?,nyu haa photo tyopuu whiityung dyabo ye?
Have you seen my jacket?,nyu gaa ting kana whiityung dyabo ye?
Have you seen my sister?,nyu haa mathi whiityung dyabo ye?
Have you written a book?,nyu tako brage whiityungya ye?
Have you written to Tom?,nyu tom tako judyabo ye?
Have your clothes dried?,nyu ting kazum shuuho ye?
He abandoned his family.,muwa aa cha ang mei maraa kuya
He accepted reluctantly.,muwa aa cha dyung whaayum gu dyung bo
He added to his savings.,muwa aa cha pisha ingdu harum a
He and I are classmates.,muwa aa cha ma haa ma kapa puridi
He answered incorrectly.,muwa aa cha maroda kasayum
He asked for more money.,muwa aa cha pisha ingdu shei a
He asked us to help him.,muwa aa cha ningme cha babrungna la
He began to feel afraid.,muwa aa cha tya ingtyo reihoya
He behaved like a child.,muwa aa cha aa kalyo dyuege jia
He behaves like a father.,muwa aa cha ba dyuege jia
He betrayed his friend.,muwa aa cha aa tamru lahalue kuuya
He bought himself a dog.,muwa aa cha gaba kwaue braehoya
He broke his leg while running.,muwa aa cha chow a gu groo glae kuu hoya
He came back after dark.,muwa aa cha kanuli ne hananaya
He came back from China.,muwa aa cha china nyu hana lyanaya
He came here to help me.,muwa aa cha ake haa brungya kanum hana hoya
He came home dead tired.,muwa aa cha ang sheityubo dyuege hana naya
He came out of the room.,muwa aa cha nyung nyugu habung hanaya
He can swim like a fish.,muwa aa cha taa dhuege machie yo hane
He can't cook very well.,muwa aa cha tape pra hayaa kasayum
He catches colds easily.,muwa aa cha tagroo masue roa
He chose them at random.,muwa aa cha chae ple kuuya
He comes from the south.,muwa aa cha bari nyu gu hanaya
He concentrated on that.,muwa aa cha achiwe we tingkuuya
He declined my proposal.,muwa aa cha haa takue pra shiyum
He did it for the money.,muwa aa cha pisha kanum kam jia
He did it in good faith.,muwa aa cha pra weyagu jiya
He did not get up early.,muwa aa cha anaya dhyuu yum 
He did not sleep a wink.,muwa aa cha ing gemu balum maayum
He did not speak at all.,muwa aa cha maro lyayum
He didn't keep his word.,muwa aa cha gaa takaue so kasayum
He didn't want to do it.,muwa aa cha ji whaa hoyum
He died of that disease.,muwa aa cha wali prayum raa gu sheiku hoya
He died three years ago.,muwa aa cha kanung kasung sha sheikuya
He does not like tennis.,muwa aa cha tennis pra weyum
He does nothing but cry.,"muwa aa cha jamu dhiyum, khrone jia"
He doesn't eat raw fish.,muwa aa cha taa whuung thayum
He doesn't have to know.,muwa aa cha kasaya dhue yum
He doesn't know English.,muwa aa cha english kasayum
He doesn't like oranges.,muwa aa cha pashing thaya pra weyum
He doesn't like to lose.,muwa aa cha hammaya pra weyum
He doesn't listen to me.,muwa aa cha haa takaue tharung yum
He doesn't look his age.,muwa aa cha welige shaho weshiyum
He doesn't need to work.,muwa aa cha kam jihonom
He drank it in one gulp.,muwa aa cha tyapa tyumkuu bo
He dropped in to see us.,muwa aa cha ning whiiyala hana gae ya
He dropped to his knees.,muwa aa cha groo bow gum tyu a
He finally got his wish.,muwa aa cha kade we walli chung ya
He fought until the end.,muwa aa cha dung tapi haduu tyu ya
He found out the secret.,muwa aa cha lumkoo takaue kasakuuya
He gave the child a toy.,muwa aa cha aa we khiliya darae hung hoya
He gets along all right.,muwa aa cha mei mi duu pra ruu a
He gets mad very easily.,muwa aa cha chue pa tamii kuu a
He glanced at his watch.,muwa aa cha ga guri whii tyu
He glanced at the clock.,muwa aa cha guri whii a
He goes there every day.,muwa aa cha achinyu hinglamung bo
He goes to kindergarten.,muwa aa cha aa nung khili blum ke bo
He got a bad reputation.,muwa aa cha mei nung prayum wega
He got lost in the city.,muwa aa cha mla dhuerung ke kama kuuya
He got lost in the school.,muwa aa cha school ke kama kuuya
He got used to the work.,muwa aa cha kam jihamru hoya
He got what he deserved.,muwa aa cha jaa chungya we chung hoya
He had a blue jacket on.,muwa aa cha ting kaana ting hoya
He happened to be there.,muwa aa cha achi ea ki
He has a sense of humor.,muwa aa cha ruu mara wekasa
He has a test next week.,muwa aa cha hapta pie gu tako juuya aa ha
He has a tight schedule.,muwa aa cha du ja kamba mu wefreyum
He has already said yes.,muwa aa cha oo laliya
He has bought a new car.,muwa aa cha garei mie br
He has come from Boston.,muwa aa cha boston nyu hanaya
He has enough willpower.,muwa aa cha tyung wefre pre tawe aa
He has gone to Tezu.,muwa aa cha tezu bobo
He has no more strength.,muwa aa cha du pre aalyayum
He has seen better days.,muwa aa cha aedumu prayuu hing whityung ya
He has to fix the clock.,muwa aa cha guri maneya dhue a
He hasn't done anything.,muwa aa cha jamu dhue yum
He heard a cry for help.,muwa aa cha haruna la khro tharung tyung ya
He is Mishmi by birth.,muwa aa cha guu thue mishmi
He is a baseball player.,muwa aa cha baseball khiliya mie
He is a bit of a coward.,muwa aa cha tyung reityu a
He is a man of his word.,muwa aa cha jum takue ne maro a
He is a medical student.,muwa aa cha tama ba puria
He is a very modest man.,muwa aa cha tyung tawe tharue mie
He is afraid of the dog.,muwa aa cha kwaue we rala
He is as poor as can be.,muwa aa cha tyung dyuka balli
He is boiling with rage.,muwa aa cha tyung khanmyu theikuu hoya
He is doing a super job.,muwa aa cha tyung pra kam jia
He is drawing a picture.,muwa aa cha tako kei photo ba
He is fond of adventure.,muwa aa cha mie mie mla cheihaya pra we
He is full of new ideas.,muwa aa cha jaladu mie tawe wekasa
He is hard to deal with.,muwa aa cha tawhiiya tyung tatyuu
He is having coffee now.,muwa aa cha coffee tya tyum a
He is just killing time.,"muwa aa cha amuhi ea, jamu diyum"
He is looking for a job.,muwa aa cha kam malaa
He is loyal to his boss.,muwa aa cha kala tayaa takaue tharung a
He is lying on the sofa.,muwa aa cha diblum kyaa khahoya
He is no longer a child.,muwa aa cha tya tazai shaholiya
He is no relation to me.,muwa aa cha haadu jamu anyu shayum
He is no stranger to me.,muwa aa cha tya pra kasaga di
He is not angry anymore.,muwa aa cha tya khamyu hoyum
He is not honest at all.,muwa aa cha tyung tharue mie yum
He is not wearing a hat.,muwa aa cha toopi tyue hoyum
He is of average height.,muwa aa cha tapeige kalung
He is polite to a fault.,muwa aa cha pra maro datyu na
He is poor at chemistry.,muwa aa cha chemistry ke pra kasayum
He is putting on weight.,muwa aa cha tyung tho darung ba
He is rather optimistic.,muwa aa cha kadigumu pra tawe we
"He is short, but strong.",muwa aa cha mei katyu kigumu tyung prae aaha
He is smelling the soup.,muwa aa cha tana chai nung a
He is strong as a horse.,muwa aa cha gooraa dhyue ge prae aaha
He is used to hard work.,muwa aa cha tyung mathung kam jihamru hoya
"He isn't coming, either.",muwa aa cha mu hanabiyum
He isn't lonely anymore.,muwa aa cha kapaa yum alibo
He isn't richer than me.,muwa aa cha haadu dhue dyayum
He just wants attention.,muwa aa cha mei mi tawe dhue hoya
He knows how to whistle.,muwa aa cha tharum brum mung kasa
He lay down on his back.,muwa aa cha putyae khaha
He left Tezu for Itanagar.,muwa aa cha tezu gu itanagar boya la bobo
He left ten minutes ago.,muwa aa cha minute halung gu bobo
He left the window open.,muwa aa cha khirki pohoya
He likes playing soccer.,muwa aa cha soccer khiliya pra we
He lives near the beach.,muwa aa cha machae dyue ea
He lives on this street.,muwa aa cha awe alyum dyue ea
He looked like a doctor.,muwa aa cha doctor dhue ge whei shia
He looked me in the eye.,muwa aa cha haa balum byu whina
He looks like my father.,muwa aa cha haa naba dhyue ga whishia
He made a joke about it.,muwa aa cha takhue we ru mara jikua
He mailed a letter home.,muwa aa cha ang tako haglae hoya
He met a nice young man.,muwa aa cha shabre du tarugaya
He met with an accident.,muwa aa cha tae kuya
He must be nearly forty.,muwa aa cha tya kanung kaprae halung sha
He neglected his duties.,muwa aa cha gaa kam pra jiyum
He neglects his studies.,muwa aa cha gaa tako pra puriyum
He never drinks alcohol.,muwa aa cha kadigumu yuu tyumyum
He never keeps his word.,muwa aa cha kadigumu takaue soyum
He never loses his head.,muwa aa cha kadigumu halaue takhaue jiyum
He no longer lives here.,muwa aa cha tya anyu eyum
He no longer works here.,muwa aa cha tya anyu kam maraahoya
He only had 100 dollars.,muwa aa cha du pisha malumge ne aaha
He paid me a compliment.,muwa aa cha haa pra lahung a
He pretended to be sick.,muwa aa cha naara dhue ge jia
He promised not to tell.,muwa aa cha atyayum laha
He put the luggage down.,muwa aa cha ga tyum balyum bari sona
He reached for the book.,muwa aa cha tako shiya hanaha
He readily agreed to it.,muwa aa cha takaue dyung a
He reads before bedtime.,muwa aa cha ingtyubo tako puri ha
He refused to notice me.,muwa aa cha haa kasadyum dhyue ge jimaba
He resembles his mother.,muwa aa cha maa nya shihoya
He runs a lot of hotels.,muwa aa cha tyung dhue hotel pohoya
He saw a light far away.,muwa aa cha dyagu light habla whityung hoya
He seems to be friendly.,muwa aa cha aatamru baya kanum pra
He seems to be rich now.,muwa aa cha chawe tya tyung dyaa
He sent me a brief note.,muwa aa cha haa tako haglaeho
He shot him in the knee.,muwa aa cha gruku o kuya
He showed what he meant.,muwa aa cha jawe we ake a
He solved every problem.,muwa aa cha jaladu me pra marua
He sometimes loses hope.,muwa aa cha bhue bhue tyo tawe ayum jia
He sometimes watches TV.,muwa aa cha TV whie a
He sounded disappointed.,muwa aa cha khudyow hoya
He sounds very immature.,muwa aa cha aa dhuege maroa
He speaks broken Tawra.,muwa aa cha tawra takaue pra maro kasayum
He speaks ten languages.,muwa aa cha mei takhaue halung de maro kasa
He squashed my hat flat.,muwa aa cha haa kuru saa phle kuya
He stood aloof from her.,muwa aa cha miya aa du dya dhehoya
He stood in front of me.,muwa aa cha haa du dehoya
He stuck to his promise.,muwa aa cha ga thakaue soa
He tends to be arrogant.,muwa aa cha takhua dhuege jia
He thinks he knows best.,muwa aa cha tyung kasa dhuege jia
He thinks he's a genius.,muwa aa cha shami du kasadi dhuege jia
He thought up an excuse.,muwa aa cha takhaue pi ba
He told me a long story.,muwa aa cha haa yaa takhaue hadi a
He took her by the hand.,muwa aa cha miya aa atyo ro a
He took no notice of me.,muwa aa cha haa whityung yum
He took off his clothes.,muwa aa cha ting thow wrekuhoya
He took off his glasses.,muwa aa cha balum khala wrehoya
He traveled on business.,muwa aa cha kampa dya bohoya
He turned down my offer.,muwa aa cha ha takhaue dyungyum jia
He turned off the light.,muwa aa cha light hamung a
He twirled his mustache.,muwa aa cha dari marua
He unbuttoned his shirt.,muwa aa cha ting button wre
He wanted to buy a book.,muwa aa cha tako braeya we
He wanted to flatter me.,muwa aa cha haa ruuya we
He wants me to help him.,muwa aa cha haa babrungya we
He wants to talk to you.,muwa aa cha nyu dyu marogaya we
"He was a big, heavy man.",muwa aa cha tyung mei darung ma asei
He was a great musician.,muwa aa cha tyung pra tasheya mei
"He was a tall, thin man.",muwa aa cha mei kalung mei a aa
He was acting on orders.,muwa aa cha mei takhue tharungya wali jia
He was blind from birth.,muwa aa cha aa guthue balum ma
He was born in Tezu.,muwa aa cha Tezu ke meya
He was brought to tears.,muwa aa cha balum ke blaei jaa
He was deaf to my pleas.,muwa aa cha haa takhaue tharung hali
He was elected chairman.,muwa aa cha chairman baring ya
He was interested in me.,muwa aa cha haa we pra weakow
He was killed instantly.,muwa aa cha tyapa sekuring ya
He was lying on the bed.,muwa aa cha tachung kya khahoya
He was made to go there.,muwa aa cha achi bona jiringya
